time,cell_id,generation,type,effect_size,mutation_string
30,4,2,down,0.0,Plk1_rate_down_0
30,4,2,down,0.0,Plk1_rate_down_0
30,5,2,down,0.0,Plk1_rate_down_0
30,5,2,down,0.0,Plk1_rate_down_0
30,5,2,down,0.0,Plk1_rate_down_0
30,6,1,down,0.0,Plk1_rate_down_0
30,6,1,down,0.0,Plk1_rate_down_0
30,7,2,down,0.0,Plk1_rate_down_0
30,7,2,down,0.0,Plk1_rate_down_0
30,8,2,down,0.0,Plk1_rate_down_0
30,8,2,down,0.0,Plk1_rate_down_0
30,9,1,down,0.0,Plk1_rate_down_0
30,9,1,down,0.0,Plk1_rate_down_0
30,10,2,down,0.0,Plk1_rate_down_0
30,10,2,down,0.0,Plk1_rate_down_0
30,10,2,down,0.0,Plk1_rate_down_0
30,11,3,down,0.0,Plk1_rate_down_0
30,11,3,down,0.0,Plk1_rate_down_0
30,11,3,down,0.0,Plk1_rate_down_0
30,12,3,down,0.0,Plk1_rate_down_0
30,12,3,down,0.0,Plk1_rate_down_0
30,12,3,down,0.0,Plk1_rate_down_0
30,13,2,down,0.0,Plk1_rate_down_0
30,13,2,down,0.0,Plk1_rate_down_0
30,13,2,down,0.0,Plk1_rate_down_0
30,14,1,down,0.0,Plk1_rate_down_0
30,14,1,down,0.0,Plk1_rate_down_0
30,14,1,down,0.0,Plk1_rate_down_0
31,0,0,down,0.0,Plk1_rate_down_0
31,0,0,down,0.0,Plk1_rate_down_0
31,0,0,down,0.0,Plk1_rate_down_0
31,2,1,down,0.0,Plk1_rate_down_0
31,2,1,down,0.0,Plk1_rate_down_0
31,2,1,down,0.0,Plk1_rate_down_0
31,3,1,down,0.0,Plk1_rate_down_0
31,3,1,down,0.0,Plk1_rate_down_0
31,3,1,down,0.0,Plk1_rate_down_0
31,4,2,down,0.0,Plk1_rate_down_0
31,4,2,down,0.0,Plk1_rate_down_0
31,4,2,down,0.0,Plk1_rate_down_0
31,5,2,down,0.0,Plk1_rate_down_0
31,5,2,down,0.0,Plk1_rate_down_0
31,5,2,down,0.0,Plk1_rate_down_0
31,6,1,down,0.0,Plk1_rate_down_0
31,6,1,down,0.0,Plk1_rate_down_0
31,7,2,down,0.0,Plk1_rate_down_0
31,7,2,down,0.0,Plk1_rate_down_0
31,8,2,down,0.0,Plk1_rate_down_0
31,8,2,down,0.0,Plk1_rate_down_0
31,9,1,down,0.0,Plk1_rate_down_0
31,9,1,down,0.0,Plk1_rate_down_0
31,10,2,down,0.0,Plk1_rate_down_0
31,10,2,down,0.0,Plk1_rate_down_0
31,10,2,down,0.0,Plk1_rate_down_0
31,11,3,down,0.0,Plk1_rate_down_0
31,11,3,down,0.0,Plk1_rate_down_0
31,11,3,down,0.0,Plk1_rate_down_0
